method,day,log_loss,brier,pr_auc,n,n_train,fit_time
decay_hl3,20,0.6094305428385233,0.21052403927319543,0.5528417393122116,552965,10852826,28.612072229385376
decay_hl7,20,0.6080019210840057,0.20993533859955907,0.5553607292466363,552965,10852826,28.720452785491943
expanding,21,0.6067143912260298,0.20939612702908844,0.5552055050066302,562085,11405791,30.28729510307312
rolling_1,21,0.6063660564238148,0.20926959204357368,0.55501849219192,562085,552965,1.4029793739318848
rolling_3,21,0.6065168608194582,0.20928364594812177,0.5557688951710092,562085,1673847,5.072445631027222
rolling_7,21,0.6061071305004274,0.2091076358435998,0.5561873947870505,562085,3629656,10.11631464958191
rolling_14,21,0.6063331378281454,0.2092326898609913,0.5558045738490116,562085,7438729,19.931904554367065
decay_hl1,21,0.613615581101988,0.21230777744407237,0.5434716345822018,562085,11405791,30.192195892333984
decay_hl3,21,0.6089361535552067,0.21030049053140734,0.5515315560758591,562085,11405791,30.200770139694214
decay_hl7,21,0.6074401817537787,0.20968223999057004,0.5541547062374843,562085,11405791,30.27681612968445
expanding,22,0.6084343584597202,0.21018414156791596,0.5578046479818471,528347,11967876,32.944180727005005
rolling_1,22,0.6089017715831775,0.2104425635123126,0.5564848052726694,528347,562085,1.4284098148345947
rolling_3,22,0.6076770321328422,0.20987975894685074,0.5586053947379617,528347,1697400,4.5737385749816895
rolling_7,22,0.6078286349429028,0.2099402780364367,0.5584470774031887,528347,3669678,10.288182020187378
rolling_14,22,0.6081052283526289,0.2100450535908021,0.5582144016334897,528347,7454648,19.886319398880005
decay_hl1,22,0.6158614130073642,0.21335328506290763,0.5445176515798649,528347,11967876,33.200472593307495
decay_hl3,22,0.610912685583584,0.21122722839804162,0.5533594210347605,528347,11967876,33.03688454627991
decay_hl7,22,0.6092845164550527,0.21053691099379063,0.5563298186443753,528347,11967876,33.01415205001831
expanding,23,0.6086926048120638,0.21037258842409004,0.554592511957738,506792,12496223,34.691829204559326
rolling_1,23,0.6088651035844016,0.21043563568295723,0.5538709162750947,506792,528347,1.3238837718963623
rolling_3,23,0.6078847360244027,0.21000913012082303,0.5550542752795753,506792,1643397,4.365429401397705
rolling_7,23,0.6078715209405201,0.2099865784650871,0.555397467938001,506792,3692217,10.387840747833252
rolling_14,23,0.6080265992717514,0.21005883270075362,0.5551147144518267,506792,7418201,19.810866832733154
decay_hl1,23,0.6156841234104433,0.2132900160720518,0.5422955503342554,506792,12496223,34.63190007209778
decay_hl3,23,0.6106929719280484,0.21116283988576928,0.5508359901926277,506792,12496223,34.71763777732849
decay_hl7,23,0.6092024929508815,0.21055130551831902,0.5535468742889736,506792,12496223,34.554046869277954
expanding,24,0.6156294851325359,0.2135228918892594,0.5616545299149351,436408,13003015,35.53986597061157
rolling_1,24,0.6148401629751246,0.21316363901985863,0.5611316155176955,436408,506792,0.9344887733459473
rolling_3,24,0.6141621913558956,0.21286351244587579,0.561882079689741,436408,1597224,3.522993564605713
rolling_7,24,0.6139842201649789,0.21278144161414878,0.5626289516595522,436408,3721329,9.429706811904907
rolling_14,24,0.6144475473141569,0.21298585783319568,0.562221021220491,436408,7424610,18.54568839073181
decay_hl1,24,0.6227843735003507,0.21658212416651482,0.5475251285472553,436408,13003015,34.43256139755249
decay_hl3,24,0.6172869553819572,0.21419882254587144,0.5569658158964746,436408,13003015,34.30823493003845
decay_hl7,24,0.6157914390234823,0.213571595291224,0.560207423391487,436408,13003015,34.445517778396606
expanding,25,0.6126033665444313,0.21211261467860068,0.5526617154802107,507128,13439423,35.72574591636658
rolling_1,25,0.6119128791352959,0.21177033040684817,0.5527404228669,507128,436408,0.7921080589294434
rolling_3,25,0.611441075724187,0.21158404712209955,0.553421393544633,507128,1471547,3.5731451511383057
rolling_7,25,0.6115493578788417,0.21163885894554266,0.5531866129208307,507128,3707479,9.326852083206177
rolling_14,25,0.6116949283962534,0.21169799590835886,0.5533108002512284,507128,7400111,18.46356177330017
decay_hl1,25,0.6203468583826647,0.2154278191989332,0.5377287900586325,507128,13439423,35.62580871582031
decay_hl3,25,0.6149900783791277,0.21313044304971976,0.5474729600939128,507128,13439423,35.649378061294556
decay_hl7,25,0.6133134403155528,0.21241519814685803,0.5509595163414507,507128,13439423,35.55109763145447
expanding,26,0.6000985551923553,0.20645900534414038,0.5446832604885571,581336,13946551,37.04542279243469
rolling_1,26,0.6011851249246857,0.2069087463546975,0.5424352097943377,581336,507128,0.9368972778320312
rolling_3,26,0.5998616383102482,0.2063462136375485,0.5448710074043026,581336,1450328,3.525548219680786
rolling_7,26,0.5998037763771192,0.20630366376484024,0.5457687371982349,581336,3676075,9.279160976409912
rolling_14,26,0.5997758682548694,0.20629868045451688,0.5454862812342836,581336,7332828,18.29608654975891
decay_hl1,26,0.6094363667078053,0.21029769890630629,0.5301543852812676,581336,13946551,37.27748441696167
decay_hl3,26,0.603219612498498,0.20770205850557683,0.5396198642105565,581336,13946551,37.1275908946991
decay_hl7,26,0.6011109241225584,0.20684479266919753,0.5431107330351093,581336,13946551,37.201783418655396
expanding,27,0.6028812363143927,0.20772350416410523,0.5466378302144297,518487,14527887,38.78433585166931
rolling_1,27,0.6037966457843443,0.20816453512235045,0.5455208392080967,518487,581336,1.107804298400879
rolling_3,27,0.6025665174339294,0.20761271745911053,0.5462504320496642,518487,1524872,3.7743940353393555
rolling_7,27,0.6022836638790272,0.20749200568393342,0.5468090263334509,518487,3675061,9.246811151504517
rolling_14,27,0.6024021184355507,0.20751156442877658,0.5472489535293714,518487,7304841,18.322057247161865
decay_hl1,27,0.6113099318744021,0.21124680275715332,0.5321085688196793,518487,14527887,38.84960150718689
decay_hl3,27,0.6058668635348375,0.20892999956027283,0.5414741780499851,518487,14527887,38.825525999069214
decay_hl7,27,0.6038852689197642,0.20811011048060912,0.5449895140883911,518487,14527887,38.88654565811157
expanding,28,0.6075343112846961,0.20978560312374214,0.5546895533532972,459375,15046374,40.24945282936096
rolling_1,28,0.608105146404234,0.2100925415746349,0.5531281350051274,459375,518487,0.9651930332183838
rolling_3,28,0.6070827003060527,0.2096548286004509,0.5547948795640971,459375,1606951,4.058254718780518
rolling_7,28,0.6068779382054703,0.20952082650012083,0.5547316825492723,459375,3640583,9.14915156364441
rolling_14,28,0.6069493719480789,0.20953133761813703,0.555044151849614,459375,7270239,18.094547271728516
decay_hl1,28,0.6158458360073931,0.21334303301312696,0.5406677041558829,459375,15046374,40.43950057029724
decay_hl3,28,0.6103670511851098,0.2109714503701173,0.5496043541299932,459375,15046374,40.36497116088867
decay_hl7,28,0.6084440759733445,0.2101589507934205,0.5530253901203884,459375,15046374,40.35006904602051
expanding,29,0.6090724357227493,0.2105604219329711,0.5664828563398211,493827,15505749,41.52210474014282
rolling_1,29,0.6096684307406188,0.21084740533883972,0.5658860029370373,493827,459375,0.8381786346435547
rolling_3,29,0.6087648327867112,0.21047556280261737,0.5679974823418066,493827,1559198,3.8593697547912598
rolling_7,29,0.6082089481304402,0.21019290747473857,0.5677759219666642,493827,3537873,8.866681814193726
rolling_14,29,0.6081669639975503,0.2101636158448112,0.5673755748787177,493827,7207551,17.950116395950317
decay_hl1,29,0.6182656379733595,0.21447851372474358,0.5522357832940108,493827,15505749,36.09568452835083
decay_hl3,29,0.6119708308419455,0.2117616836209934,0.5617306871456832,493827,15505749,41.639228105545044
decay_hl7,29,0.609922506590388,0.2108973493172175,0.5651068544971287,493827,15505749,41.68915414810181
expanding,30,0.609966655805159,0.2109552859741925,0.5690958269257671,468451,15999576,43.022016286849976
rolling_1,30,0.6099170390378549,0.21092034973603618,0.5691379768023679,468451,493827,0.9097344875335693
rolling_3,30,0.6090841159794472,0.21059215955416952,0.5708355242073808,468451,1471689,3.5754849910736084
rolling_7,30,0.6089686714211594,0.21052675715403513,0.5700422797728447,468451,3503353,8.76745867729187
rolling_14,30,0.6090696357664699,0.21057887378616488,0.5698991188112306,468451,7195570,17.933587789535522
decay_hl1,30,0.618976614869705,0.21480289609202793,0.555287431748177,468451,15999576,37.32291793823242
decay_hl3,30,0.6127999319880048,0.2121291972659816,0.5643401078961867,468451,15999576,43.21317911148071
decay_hl7,30,0.6108057998485271,0.21128597624162526,0.5676044446402607,468451,15999576,43.22568655014038
