method,is_test,day,n,log_loss,brier,ece,clicks
combined,False,21,562085,0.6060280531047226,0.20908539977115165,0.008219990893390622,205782
combined,True,22,528347,0.6078335748614462,0.20994593950133003,0.00683274222485035,195055
combined,True,23,506792,0.6078129245178128,0.20998462783629548,0.007521227209199376,186589
combined,True,24,436408,0.6139022436111297,0.2127282762360279,0.00737341667417607,164916
combined,True,25,507128,0.6116505652983178,0.21167402793436735,0.00676332879488919,188189
combined,True,26,581336,0.5992714136707468,0.2061216390587246,0.008918076095331016,206145
combined,True,27,518487,0.6024939010933629,0.20757456982665679,0.006566970949483835,185940
combined,True,28,459375,0.6068292220479887,0.2095088506055936,0.007222929471145093,168527
combined,True,29,493827,0.6081097217203433,0.21011575076733902,0.01061689089683331,185143
combined,True,30,468451,0.6090023100683546,0.21053449014474504,0.009111476957817524,176695
time_of_day,False,16,477680,0.6098899940970981,0.21086217843672536,0.012274629032478602,178684
time_of_day,False,17,450258,0.6169348533780344,0.21402961424791817,0.009413211801448733,172509
time_of_day,False,18,538532,0.6157752425082312,0.2134766842634269,0.006170010530839348,204091
time_of_day,False,19,582350,0.6058019925567742,0.20895116576385445,0.015461520919905575,212241
time_of_day,False,20,552965,0.6065881781344983,0.20933113772831816,0.0068380290919887576,202913
time_of_day,False,21,562085,0.6061636074844514,0.2091245583144388,0.01154465103847332,205782
time_of_day,True,22,528347,0.6077249032818035,0.20989258269228483,0.007515407635361488,195055
time_of_day,True,23,506792,0.6077551735978904,0.20993301353915955,0.008558107902911961,186589
time_of_day,True,24,436408,0.6138816924250542,0.21273757955737946,0.009462154157833596,164916
time_of_day,True,25,507128,0.6115212748405865,0.21162878219957737,0.006230863780094225,188189
time_of_day,True,26,581336,0.5998603730476482,0.20632822213690968,0.01588836183896308,206145
time_of_day,True,27,518487,0.6021223569675938,0.2074276201199869,0.0064511850484983806,185940
time_of_day,True,28,459375,0.6068094668472815,0.20949669547576014,0.00727253345498955,168527
time_of_day,True,29,493827,0.6080716849061865,0.21014116862771254,0.01358021424909831,185143
time_of_day,True,30,468451,0.6088101685818045,0.21046420976026048,0.00934229759796041,176695
oracle_intercept,False,16,477680,0.6097799648751558,0.21079131318995345,0.010012420203698157,178684
oracle_intercept,False,17,450258,0.616763649662121,0.21393631064416666,0.006677034862961157,172509
oracle_intercept,False,18,538532,0.6157103978791139,0.21345623382918932,0.005893029308170514,204091
oracle_intercept,False,19,582350,0.605298949988477,0.20877376961278318,0.007948405487450825,212241
oracle_intercept,False,20,552965,0.606628379545663,0.2093566576549418,0.006676743957337471,202913
oracle_intercept,False,21,562085,0.6059792143906705,0.20907471392758067,0.009271533544845304,205782
oracle_intercept,True,22,528347,0.6078013902572706,0.20993586717993654,0.006720610769664548,195055
oracle_intercept,True,23,506792,0.607779888209186,0.209963857100988,0.007020650049871928,186589
oracle_intercept,True,24,436408,0.6138799751352159,0.21272157300337535,0.007515973352528787,164916
oracle_intercept,True,25,507128,0.6115468834972979,0.21163615680187722,0.006214497603995816,188189
oracle_intercept,True,26,581336,0.599287627640588,0.20612543567415212,0.008909533770125579,206145
oracle_intercept,True,27,518487,0.6022598683376085,0.2074898403066318,0.0067583710877258665,185940
oracle_intercept,True,28,459375,0.6068386006545732,0.20951454257821106,0.007337144704569799,168527
oracle_intercept,True,29,493827,0.6080781184531003,0.2101077273893131,0.011084095043445293,185143
oracle_intercept,True,30,468451,0.6089660429810544,0.21052924267566908,0.009707222507485918,176695
online_platt,False,16,477680,0.6095897726877362,0.2107331136279069,0.0066518754120895186,178684
online_platt,False,17,450258,0.6168563199205133,0.21396892813688212,0.005457096215775973,172509
online_platt,False,18,538532,0.6157017948602743,0.21344735145294927,0.005828002445608943,204091
online_platt,False,19,582350,0.6051538129306232,0.20872700812534675,0.004730559794832456,212241
online_platt,False,20,552965,0.6065944181943507,0.20934128826229265,0.00528437368345595,202913
online_platt,False,21,562085,0.6058798349422645,0.20903552724339683,0.00611348092500496,205782
online_platt,True,22,528347,0.6077559482281283,0.2099292126106264,0.005606307578887244,195055
online_platt,True,23,506792,0.6077581589717425,0.20996799056349857,0.007428065232455851,186589
online_platt,True,24,436408,0.6138473760000677,0.21271387311694032,0.006663113831817333,164916
online_platt,True,25,507128,0.6116575561764165,0.2116774626833786,0.006454379634368753,188189
online_platt,True,26,581336,0.5990453306965148,0.20604473921346164,0.00585621004719806,206145
online_platt,True,27,518487,0.602436084154523,0.2075514738768073,0.005585345140841317,185940
online_platt,True,28,459375,0.606729327765716,0.20947476156482506,0.006260162007279055,168527
online_platt,True,29,493827,0.6079183644110521,0.21005078941871116,0.007982418870341847,185143
online_platt,True,30,468451,0.6088711036059236,0.21049618218898825,0.0066030173445980195,176695
