day,block,n,mean_residual
20,84,7736,0.013483396043852427
20,85,7331,0.00492850674931824
20,86,6699,0.01354997499100756
20,87,6171,-4.8045532001836645e-05
20,88,5334,0.008987323226693714
20,89,4718,0.005000717407469728
20,90,4138,0.004116247417696204
20,91,3516,0.017295320191253342
20,92,2502,-0.0030585488345772306
20,93,2192,0.0010900855216039063
20,94,1860,0.012816531011961618
20,95,1547,-0.01008937338390932
21,0,1234,-0.01025119623345846
21,1,1093,0.008780967362451092
21,2,908,0.0012591582955928224
21,3,845,0.01986335182267466
21,4,789,0.013222238897374521
21,5,739,-0.003662085418479894
21,6,723,-0.013955885914911802
21,7,680,0.00754584394722825
21,8,648,0.00687360145647099
21,9,751,0.013772783573372584
21,10,784,0.005925863865112087
21,11,841,0.01088752702821116
21,12,878,0.01768973443198978
21,13,911,0.023668919804217484
21,14,1011,0.026867756943197728
21,15,1219,0.01888415530359834
21,16,1417,0.023854536896608408
21,17,1568,-0.009181761727838205
21,18,1783,0.00897780205155899
21,19,2097,0.010739586739434459
21,20,2582,-0.0012569124300104305
21,21,2933,0.009539113886005693
21,22,3481,0.013323716328270395
21,23,4096,0.009056508725818757
21,24,4196,-0.0058915610297632405
21,25,4987,0.0013681500120915238
21,26,5328,0.013960663172835825
21,27,5659,0.016113509374635054
21,28,6148,-0.0019133253186136851
21,29,6522,0.0010429769259536542
21,30,6723,-0.009689870383580663
21,31,6914,-0.011808247248501949
21,32,7095,-0.005502339208149489
21,33,7415,-0.0178303010086524
21,34,7433,-0.019241357711127317
21,35,7535,-0.01776080783383241
21,36,7463,-0.010380212611156082
21,37,7860,-0.009247930270154567
21,38,7565,-0.016576834298337933
21,39,7707,-0.01733218950443017
21,40,7769,-0.015653131312315834
21,41,7910,-0.01860657592443877
21,42,7894,-0.0181633049784515
21,43,8005,-0.01893861873179874
21,44,7484,-0.012299533921946654
21,45,7740,-0.02078766687730666
21,46,7933,-0.01476330282342797
21,47,8116,-0.02230488194511035
21,48,7830,-0.010896234194177649
21,49,8117,-0.0112181484663309
21,50,8007,-0.0021369891096327614
21,51,8122,-0.011664329000302663
21,52,8130,-0.012759353855597632
21,53,8087,-0.014319443394058145
21,54,7966,-0.015529941447849638
21,55,8089,-0.01706062749615612
21,56,7764,-0.012929621335187417
21,57,7742,-0.012494957551677208
21,58,7784,-0.015242103817392407
21,59,7928,-0.009581056887009822
21,60,8018,-0.014576883586935211
21,61,8125,-0.017143399691989348
21,62,8227,-0.012936011507273866
21,63,8340,-0.011382348913569285
21,64,8248,-0.013080753101060884
21,65,8517,-0.007757494049819501
21,66,8595,-0.016395881914806565
21,67,8633,-0.012689184996393706
21,68,8667,-0.015268859325851796
21,69,8631,-0.006023556096802164
21,70,8737,-0.006416683718414241
21,71,8937,-0.004798744103375144
21,72,8608,-0.005397625871355359
21,73,9011,-0.006083457379489246
21,74,8899,-0.003041450104431344
21,75,9252,0.003718522512423184
21,76,8869,0.00019435099714401033
21,77,8931,0.0011400723644370702
